article,line_no,phrase,global_citations
"Higuera-Agudelo SJ, 2014, DYNA, V81, P108",1,"we considered that the inner defect edge is in contact with a thin superconducting layer at higher critical temperature and/or with a dielectric material, while the outer edge of the sample is in contact with the vacuum.",1
"Higuera-Agudelo SJ, 2014, DYNA, V81, P108",2,"we have evaluated the superconducting order parameter, magnetization and vorticity as a function of the size of the defect at the first vortex penetration field.",1
"Higuera-Agudelo SJ, 2014, DYNA, V81, P108",3,therefore we conclude and we are able to show that circular geometry of the vortices near to the defect is mildly modified by the enhanced superconductivity at the edge of the hole.,1
"Higuera-Agudelo SJ, 2014, DYNA, V81, P108",4,the authors.,1
"Higuera-Agudelo SJ, 2014, DYNA, V81, P108",5,licensee universidad nacional de colombia.,1
"Chulvi V, 2014, DYNA, V81, P86",0,this work addresses the challenge of stimulating creative thought in higher education.,1
"Chulvi V, 2014, DYNA, V81, P86",1,"with this aim in mind, the article describes the development of a collaborative creativity exercise designed to improve students' creative skills through self-perception of their strong and weak points.",1
"Chulvi V, 2014, DYNA, V81, P86",2,"in this work the exercise is set out as a five-step methodology, which includes the determination of personality profiles using the herrmann brain dominance instrument and the design of an island, to be carried out by groups of students in the classroom.",1
"Chulvi V, 2014, DYNA, V81, P86",3,"in this study, the exercise, which has been applied to first-year technical engineering in industrial design students for the last five years, is undertaken by different groups of students in five different sessions.",1
"Chulvi V, 2014, DYNA, V81, P86",4,"observations performed in the classroom and the results of the exercises, that is, both the islands that were designed and the choices made by the students, are used to draw the conclusions about the validity of the study.",1
"Chulvi V, 2014, DYNA, V81, P86",5,"moreover, the paper also compares the perceptions of the students who took part in the experiment this year and those who had done the exercise in previous years.",1
"Chulvi V, 2014, DYNA, V81, P86",6,"the conclusions concern the style of working of each group of dominances, and highlight the effectiveness of the tool for enhancing students' creativity through self-reflection.",1
"Chulvi V, 2014, DYNA, V81, P86",7,"the students' positive perceptions, even several years after doing the exercise, are good proof of this.",1
"Chulvi V, 2014, DYNA, V81, P86",8,the authors.,1
"Chulvi V, 2014, DYNA, V81, P86",9,licensee universidad nacional de colombia.,1
"Sanchez-Arredondo LH, 2014, DYNA, V81, P24",0,a geostatistics module (mg95)was determined based on geostatistical studies of global estimations of seismicity data reported by the national seismological network of colombia [red sismologica nacional de colombia (rsnc)].,0
"Sanchez-Arredondo LH, 2014, DYNA, V81, P24",1,"it enabled the level of activity of the cortical fault in the department of antioquia (da), colombia to be categorized.",0
"Sanchez-Arredondo LH, 2014, DYNA, V81, P24",2,"the 95 relates the estimated values with polygonal kriging and the corresponding error for each one of the municipalities of antioquia, with a student parameter at 95% confidence, dependant on the number of microseisms registered locally.",0
"Sanchez-Arredondo LH, 2014, DYNA, V81, P24",3,"the following categorization scale is proposed to determine the levels of active faults in each municipality: proved active fault, probable active fault, mg95 [0-0.2] and possible active fault.",0
"Sanchez-Arredondo LH, 2014, DYNA, V81, P24",4,mg95 [0.2-0.3] and possible active fault mg95&gt.0.3.,0
"Sanchez-Arredondo LH, 2014, DYNA, V81, P24",5,the authors.,0
"Sanchez-Arredondo LH, 2014, DYNA, V81, P24",6,licensee universidad nacional de colombia.,0
"Zaragoza-Fernandez S, 2014, DYNA, V81, P200",0,the prediction of energy savings and indoor air quality resulting from the implementation of rehabilitation measures for energy efficiency in residential buildings is paramount to invest in the right technology and optimize available resources.,4
"Zaragoza-Fernandez S, 2014, DYNA, V81, P200",1,"in this paper, we propose a new methodology, based on actual data collection, to quickly and effectively assess energy efficiency and air quality of housings, considering variables such as the customs of the occupants, regulations and the constructive typology.",4
"Zaragoza-Fernandez S, 2014, DYNA, V81, P200",2,"the effect corresponding to the reforms carried out for energy efficiency rehabilitation in four homes built at different periods, under different rules, with different levels of occupancy and characteristics of its constructive elements is evaluated successfully.",4
"Zaragoza-Fernandez S, 2014, DYNA, V81, P200",3,the authors.,4
"Zaragoza-Fernandez S, 2014, DYNA, V81, P200",4,licensee universidad nacional de colombia.,4
"Arias-Perez B, 2014, DYNA, V81, P94",0,in this paper a twofold calibration approach for a digital frame sensor has been developed which tries to cope with panchromatic and multispectral calibration separately.,0
"Arias-Perez B, 2014, DYNA, V81, P94",1,"although there have been several improvements and developments in calibration of the digital frame sensor, only limited progresses has been made in the context of multispectral image calibration.",0
"Arias-Perez B, 2014, DYNA, V81, P94",2,"to this end, a specific photogrammetric flight was executed to try to calibrate the geometric parameters of a large format aerial digital camera.",0
"Arias-Perez B, 2014, DYNA, V81, P94",3,"this photogrammetric flight was performed in the ""principado de asturias"" and it has been designed with a ground sample distance of 6 cm, formed by two strips perpendicular between each other, with five images each one and a longitudinal overlap of 60%.",0
"Arias-Perez B, 2014, DYNA, V81, P94",4,"numerous points have been presignalled over the ground, both check points and control points.",0
"Arias-Perez B, 2014, DYNA, V81, P94",5,the authors.,0
"Arias-Perez B, 2014, DYNA, V81, P94",6,licensee universidad nacional de colombia.,0
"Ayala-Aponte AA, 2014, DYNA, V81, P81",0,"the aim of work was to evaluate the influence of using osmotic dehydration (od) on drip loss (dl), volume (v), total color change (e), and firmness of cucumis melo l. samples (cantaloupe variety), stored under freezing conditions.",7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",1,"the samples were dehydrated up to two humidity levels (75 and 85%, w.b.",7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",2,"), using an osmotic sucrose solution with 55brix, at 27 0.2c.",7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",3,"the dehydrated samples were frozen at-40c and then stored at-18c for 1, 15 and 30 days.",7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",4,fresh fruit samples (non-osmotic treatment) were used as control duringthe frozen storage time.,7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",5,"the results showed that the treated samples had significantly (p<0.05) lower dl, v, and e, compared to the untreated ones along the freezing process.",7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",6,the firmness was significantly (p<0.05) greater in treated samples.,7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",7,the quality of osmotictreated samples was higher than non-treated ones.,7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",8,"however, treated samples with a lower content of humidity (75%, w.b.)",7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",9,showed greater firmness and lower loss in color and volume.,7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",10,the authors.,7
"Ayala-Aponte AA, 2014, DYNA, V81, P81",11,licensee universidad nacional de colombia.,7
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",0,"this paper describes the use of flower wastes (carnation, rose and daisy) as a potential, alternative and low-cost adsorbent for the removal of acid blue 9 (ab9).",11
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",1,the best conditions to achieve an efficient adsorption were evaluated in a batch process.,11
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",2,"with an acidic ph of 2.0, a removal exceeding 90% was obtained using concentrations of ab9 of 15.0 mgl-1 and a dosage of adsorbent of 4.0 gl-1.",11
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",3,"the equilibrium of the process was modeled using the langmuir and freundlich isotherms, obtaining a better fit with the latter one.",11
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",4,kinetic studies indicated a better fit of the process to a pseudo-second order model and negligible effect of temperature.,11
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",5,"in addition, the bromatological characterization of the adsorbent is shown.",11
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",6,the authors.,11
"Echavarria-Alvarez AM, 2014, DYNA, V81, P132",7,licensee universidad nacional de colombia.,11
"Fernandez-Ledesma JD, 2014, DYNA, V81, P126",0,"the following article shows the process of building and validating a framework for the management of consistencies in class diagrams in uml, operating specifically on class diagrams, through the application of transformation rules, using both graph grammar and ocl (object constraint language).",0
"Fernandez-Ledesma JD, 2014, DYNA, V81, P126",1,"the proposed framework, after examining the techniques of consistency management, operates on a class diagram, since this constitutes a structural diagram.",0
"Fernandez-Ledesma JD, 2014, DYNA, V81, P126",2,"this is even more important when modeling, and it facilitates the application of rules based on the treated techniques, thus contributing to provide the community of analysts and modelers with a support tool for the refinement and quality improvement of the diagrams.",0
"Fernandez-Ledesma JD, 2014, DYNA, V81, P126",3,"it also operates on a typical case of application to show the tool's advantages, thus making it easier to comprehend and understand.",0
"Fernandez-Ledesma JD, 2014, DYNA, V81, P126",4,the authors.,0
"Fernandez-Ledesma JD, 2014, DYNA, V81, P126",5,licensee universidad nacional de colombia.,0
"Arango-Marin JA, 2014, DYNA, V81, P113",0,this paper introduces an application of the theory of constraints product mix heuristic to job scheduling in a hybrid flexible flow shop.,4
"Arango-Marin JA, 2014, DYNA, V81, P113",1,the general heuristic is adapted for unrelated parallel machines and the algorithm is implemented as a job detailed scheduling tool based on the principle of the theory of constraints to schedule the production based in the bottleneck resource.,4
"Arango-Marin JA, 2014, DYNA, V81, P113",2,"the adaptation of the methodology to a flexible hybrid context, where there is parallelism in the bottleneck stage, and its application in a textile plant, helps to assign capacity based on the contribution margin.",4
"Arango-Marin JA, 2014, DYNA, V81, P113",3,the result is a viable job scheduling focused on the profitability unit.,4
"Arango-Marin JA, 2014, DYNA, V81, P113",4,"although the results do not reach the global optimum of this type of problems, they represent a fast and effective job scheduling alternative in the contexts under study.",4
